薿	艹疑ノㄋ丶丶
熙	巳丶丶丶丶
蠹	橐石丨ㄋ丶丶
橐	橐石一丨丶丶
囊	橐吅一一丶丶
媲	女囟ノ丶ㄋㄋ
嬛	女罒丨ㄋ丶丶
澴	氵罒丨ㄋ丶丶
臀	尸共ノㄋ一一
硷	石佥ノ丶一一
擐	扌罒丨ㄋ丶丶
擒	扌人丶一丶丶
瑙	王巛ノ丨丶丶
圜	囗罒丨ㄋ丶丶
谘	讠次丨ㄋ一一
醾	酉麻丶ノ丶丶
巇	山虍一丨丶丶
沢	氵尺ㄋ一丶丶
有	⺝ノㄋ一一
壑	⺊冖一ノ一一
卫	ㄗ一一一一一
头	⺀大一ノ丶丶
斗	⺀十一丨丨丨
盥	𦥑水丨ㄋ一一
舆	𦥑车一ノ丶丶
爨	𦥑冂丨ㄋ丶丶
璺	𦥑冂丨ㄋ丶丶
删	冂冂一丨丨丨
彤	丹彡ノノノノ
飏	风汤ㄋノノノ
飗	风留丨ㄋ一一
飔	风田丶ㄋ丶丶
飐	风占丨一一一
粲	⺊夕ㄋ丶丶丶
睿	⺊冖一ノ一一
贞	⺊贝丨ㄋ丶丶
卣	⺊囗ㄋ一一一
桌	⺊日一丨丶丶
卢	⺊尸ㄋ一ノノ
攴	⺊又ㄋ丶丶丶
鸬	⺊尸ノㄋ一一
颅	⺊尸一ノ丶丶
鹾	⺊囗ノ丶一一
餐	⺊夕ㄋ丶丶丶
卓	卓丨一丨丨
泶	学水丨ㄋ丶丶
觉	学见丨ㄋㄋㄋ
鲎	学鱼ノㄋ一一
喾	学告ノ一一一
黉	学丨ㄋ丶丶
学	学子ㄋ丨一一
逮	隶辶丶ㄋ丶丶
书	丨丶丶丶
以	以ㄋ丶丶丶
带	带一丨丨丨
寿	寸一丨丶丶
帮	阝丨ㄋ丨丨
焘	寸丶丶丶丶
邦	阝ㄋ丨丨丨
眉	目丨ㄋ一一
鹛	目ノㄋ一一
郿	目ㄋ丨丨丨
才	才一丨ノノ
东	东一ㄋ丶丶
鸫	东鸟ノㄋ一一
高	高丶一一一
鹫	京尢丶ノ一一
膏	亮口丨ㄋ一一
烹	亨灬丶丶丶丶
亨	亨丶一丨丨
享	享丶一一一
亮	亮几ノㄋㄋㄋ
毫	亮毛ノ一ㄋㄋ
亳	亮乇ノ一ㄋㄋ
憝	享攵丶ㄋ丶丶
敲	高⺊ㄋ丶丶丶
就	京尢丶丶丶丶
鹑	享鸟ノㄋ一一
敦	享攵ノ一丶丶
